state|state_abbreviation|county|fips|party|candidate|votes|fraction_votes|letra_inicial|FIPStxt|PCTPOVALL_2015
Alabama|AL|Autauga|1001.0|Democrat|Bernie Sanders|544|0.182|A|1001|12.7
Alabama|AL|Autauga|1001.0|Democrat|Hillary Clinton|2387|0.8|A|1001|12.7
Alabama|AL|Autauga|1001.0|Republican|Ben Carson|1764|0.146|A|1001|12.7
Alabama|AL|Autauga|1001.0|Republican|Donald Trump|5387|0.445|A|1001|12.7
Alabama|AL|Autauga|1001.0|Republican|John Kasich|421|0.035|A|1001|12.7
Alabama|AL|Autauga|1001.0|Republican|Marco Rubio|1785|0.14800000000000002|A|1001|12.7
Alabama|AL|Autauga|1001.0|Republican|Ted Cruz|2482|0.205|A|1001|12.7
Alabama|AL|Baldwin|1003.0|Democrat|Bernie Sanders|2694|0.329|A|1003|12.9
Alabama|AL|Baldwin|1003.0|Democrat|Hillary Clinton|5290|0.647|A|1003|12.9
Alabama|AL|Baldwin|1003.0|Republican|Ben Carson|4221|0.084|A|1003|12.9
Alabama|AL|Baldwin|1003.0|Republican|Donald Trump|23618|0.469|A|1003|12.9
Alabama|AL|Baldwin|1003.0|Republican|John Kasich|2987|0.059|A|1003|12.9
Alabama|AL|Baldwin|1003.0|Republican|Marco Rubio|9703|0.193|A|1003|12.9
Alabama|AL|Baldwin|1003.0|Republican|Ted Cruz|8571|0.17|A|1003|12.9
Alabama|AL|Barbour|1005.0|Democrat|Bernie Sanders|222|0.078|A|1005|32.0
Alabama|AL|Barbour|1005.0|Democrat|Hillary Clinton|2567|0.906|A|1005|32.0
Alabama|AL|Barbour|1005.0|Republican|Ben Carson|417|0.122|A|1005|32.0
Alabama|AL|Barbour|1005.0|Republican|Donald Trump|1710|0.501|A|1005|32.0
Alabama|AL|Barbour|1005.0|Republican|John Kasich|123|0.036000000000000004|A|1005|32.0
Alabama|AL|Barbour|1005.0|Republican|Marco Rubio|498|0.146|A|1005|32.0
Alabama|AL|Barbour|1005.0|Republican|Ted Cruz|609|0.179|A|1005|32.0
Alabama|AL|Bibb|1007.0|Democrat|Bernie Sanders|246|0.197|A|1007|22.2
Alabama|AL|Bibb|1007.0|Democrat|Hillary Clinton|942|0.755|A|1007|22.2
Alabama|AL|Bibb|1007.0|Republican|Ben Carson|393|0.099|A|1007|22.2
Alabama|AL|Bibb|1007.0|Republican|Donald Trump|1959|0.494|A|1007|22.2
Alabama|AL|Bibb|1007.0|Republican|John Kasich|84|0.021|A|1007|22.2
Alabama|AL|Bibb|1007.0|Republican|Marco Rubio|444|0.112|A|1007|22.2
Alabama|AL|Bibb|1007.0|Republican|Ted Cruz|1011|0.255|A|1007|22.2
Alabama|AL|Blount|1009.0|Democrat|Bernie Sanders|395|0.386|A|1009|14.7
Alabama|AL|Blount|1009.0|Democrat|Hillary Clinton|564|0.551|A|1009|14.7
Alabama|AL|Blount|1009.0|Republican|Ben Carson|1523|0.1|A|1009|14.7
Alabama|AL|Blount|1009.0|Republican|Donald Trump|7390|0.487|A|1009|14.7
Alabama|AL|Blount|1009.0|Republican|John Kasich|337|0.022|A|1009|14.7
Alabama|AL|Blount|1009.0|Republican|Marco Rubio|1843|0.122|A|1009|14.7
Alabama|AL|Blount|1009.0|Republican|Ted Cruz|3698|0.244|A|1009|14.7
Alabama|AL|Bullock|1011.0|Democrat|Bernie Sanders|178|0.066|A|1011|39.6
Alabama|AL|Bullock|1011.0|Democrat|Hillary Clinton|2451|0.913|A|1011|39.6
Alabama|AL|Bullock|1011.0|Republican|Ben Carson|47|0.085|A|1011|39.6
Alabama|AL|Bullock|1011.0|Republican|Donald Trump|313|0.565|A|1011|39.6
Alabama|AL|Bullock|1011.0|Republican|John Kasich|23|0.042|A|1011|39.6
Alabama|AL|Bullock|1011.0|Republican|Marco Rubio|64|0.116|A|1011|39.6
Alabama|AL|Bullock|1011.0|Republican|Ted Cruz|94|0.17|A|1011|39.6
Alabama|AL|Butler|1013.0|Democrat|Bernie Sanders|156|0.065|A|1013|25.8
Alabama|AL|Butler|1013.0|Democrat|Hillary Clinton|2196|0.921|A|1013|25.8
Alabama|AL|Butler|1013.0|Republican|Ben Carson|377|0.118|A|1013|25.8
Alabama|AL|Butler|1013.0|Republican|Donald Trump|1720|0.5379999999999999|A|1013|25.8
Alabama|AL|Butler|1013.0|Republican|John Kasich|86|0.027000000000000003|A|1013|25.8
Alabama|AL|Butler|1013.0|Republican|Marco Rubio|427|0.133|A|1013|25.8
Alabama|AL|Butler|1013.0|Republican|Ted Cruz|534|0.16699999999999998|A|1013|25.8
Alabama|AL|Calhoun|1015.0|Democrat|Bernie Sanders|1425|0.218|A|1015|20.0
Alabama|AL|Calhoun|1015.0|Democrat|Hillary Clinton|5011|0.765|A|1015|20.0
Alabama|AL|Calhoun|1015.0|Republican|Ben Carson|2350|0.118|A|1015|20.0
Alabama|AL|Calhoun|1015.0|Republican|Donald Trump|8960|0.451|A|1015|20.0
Alabama|AL|Calhoun|1015.0|Republican|John Kasich|957|0.048|A|1015|20.0
Alabama|AL|Calhoun|1015.0|Republican|Marco Rubio|3251|0.163|A|1015|20.0
Alabama|AL|Calhoun|1015.0|Republican|Ted Cruz|3859|0.194|A|1015|20.0
Alabama|AL|Chambers|1017.0|Democrat|Bernie Sanders|312|0.095|A|1017|22.4
Alabama|AL|Chambers|1017.0|Democrat|Hillary Clinton|2899|0.8859999999999999|A|1017|22.4
Alabama|AL|Chambers|1017.0|Republican|Ben Carson|595|0.131|A|1017|22.4
Alabama|AL|Chambers|1017.0|Republican|Donald Trump|2169|0.476|A|1017|22.4
Alabama|AL|Chambers|1017.0|Republican|John Kasich|168|0.037000000000000005|A|1017|22.4
Alabama|AL|Chambers|1017.0|Republican|Marco Rubio|595|0.131|A|1017|22.4
Alabama|AL|Chambers|1017.0|Republican|Ted Cruz|914|0.2|A|1017|22.4
Alabama|AL|Cherokee|1019.0|Democrat|Bernie Sanders|268|0.249|A|1019|19.4
Alabama|AL|Cherokee|1019.0|Democrat|Hillary Clinton|712|0.6609999999999999|A|1019|19.4
Alabama|AL|Cherokee|1019.0|Republican|Ben Carson|534|0.1|A|1019|19.4
Alabama|AL|Cherokee|1019.0|Republican|Donald Trump|2777|0.521|A|1019|19.4
Alabama|AL|Cherokee|1019.0|Republican|John Kasich|151|0.028|A|1019|19.4
Alabama|AL|Cherokee|1019.0|Republican|Marco Rubio|810|0.152|A|1019|19.4
Alabama|AL|Cherokee|1019.0|Republican|Ted Cruz|921|0.173|A|1019|19.4
Alabama|AL|Chilton|1021.0|Democrat|Bernie Sanders|289|0.246|A|1021|20.2
Alabama|AL|Chilton|1021.0|Democrat|Hillary Clinton|860|0.731|A|1021|20.2
Alabama|AL|Chilton|1021.0|Republican|Ben Carson|1149|0.108|A|1021|20.2
Alabama|AL|Chilton|1021.0|Republican|Donald Trump|5273|0.493|A|1021|20.2
Alabama|AL|Chilton|1021.0|Republican|John Kasich|218|0.02|A|1021|20.2
Alabama|AL|Chilton|1021.0|Republican|Marco Rubio|1436|0.134|A|1021|20.2
Alabama|AL|Chilton|1021.0|Republican|Ted Cruz|2328|0.218|A|1021|20.2
Alabama|AL|Choctaw|1023.0|Democrat|Bernie Sanders|273|0.124|A|1023|24.4
Alabama|AL|Choctaw|1023.0|Democrat|Hillary Clinton|1772|0.802|A|1023|24.4
Alabama|AL|Choctaw|1023.0|Republican|Ben Carson|169|0.079|A|1023|24.4
Alabama|AL|Choctaw|1023.0|Republican|Donald Trump|1070|0.499|A|1023|24.4
Alabama|AL|Choctaw|1023.0|Republican|John Kasich|68|0.032|A|1023|24.4
Alabama|AL|Choctaw|1023.0|Republican|Marco Rubio|315|0.147|A|1023|24.4
Alabama|AL|Choctaw|1023.0|Republican|Ted Cruz|451|0.21|A|1023|24.4
Alabama|AL|Clarke|1025.0|Democrat|Bernie Sanders|213|0.063|A|1025|22.2
Alabama|AL|Clarke|1025.0|Democrat|Hillary Clinton|3148|0.93|A|1025|22.2
Alabama|AL|Clarke|1025.0|Republican|Ben Carson|410|0.08900000000000001|A|1025|22.2
Alabama|AL|Clarke|1025.0|Republican|Donald Trump|2308|0.502|A|1025|22.2
Alabama|AL|Clarke|1025.0|Republican|John Kasich|125|0.027000000000000003|A|1025|22.2
Alabama|AL|Clarke|1025.0|Republican|Marco Rubio|805|0.175|A|1025|22.2
Alabama|AL|Clarke|1025.0|Republican|Ted Cruz|886|0.193|A|1025|22.2
Alabama|AL|Clay|1027.0|Democrat|Bernie Sanders|135|0.13699999999999998|A|1027|18.4
Alabama|AL|Clay|1027.0|Democrat|Hillary Clinton|807|0.818|A|1027|18.4
Alabama|AL|Clay|1027.0|Republican|Ben Carson|492|0.122|A|1027|18.4
Alabama|AL|Clay|1027.0|Republican|Donald Trump|1920|0.476|A|1027|18.4
Alabama|AL|Clay|1027.0|Republican|John Kasich|125|0.031|A|1027|18.4
Alabama|AL|Clay|1027.0|Republican|Marco Rubio|505|0.125|A|1027|18.4
Alabama|AL|Clay|1027.0|Republican|Ted Cruz|836|0.207|A|1027|18.4
Alabama|AL|Cleburne|1029.0|Democrat|Bernie Sanders|72|0.238|A|1029|18.9
Alabama|AL|Cleburne|1029.0|Democrat|Hillary Clinton|221|0.732|A|1029|18.9
Alabama|AL|Cleburne|1029.0|Republican|Ben Carson|437|0.1|A|1029|18.9
Alabama|AL|Cleburne|1029.0|Republican|Donald Trump|2120|0.483|A|1029|18.9
Alabama|AL|Cleburne|1029.0|Republican|John Kasich|106|0.024|A|1029|18.9
Alabama|AL|Cleburne|1029.0|Republican|Marco Rubio|598|0.136|A|1029|18.9
Alabama|AL|Cleburne|1029.0|Republican|Ted Cruz|928|0.211|A|1029|18.9
Alabama|AL|Coffee|1031.0|Democrat|Bernie Sanders|389|0.201|A|1031|16.2
Alabama|AL|Coffee|1031.0|Democrat|Hillary Clinton|1493|0.772|A|1031|16.2
Alabama|AL|Coffee|1031.0|Republican|Ben Carson|1368|0.132|A|1031|16.2
Alabama|AL|Coffee|1031.0|Republican|Donald Trump|4304|0.414|A|1031|16.2
Alabama|AL|Coffee|1031.0|Republican|John Kasich|377|0.036000000000000004|A|1031|16.2
Alabama|AL|Coffee|1031.0|Republican|Marco Rubio|1608|0.155|A|1031|16.2
Alabama|AL|Coffee|1031.0|Republican|Ted Cruz|2421|0.233|A|1031|16.2
Alabama|AL|Colbert|1033.0|Democrat|Bernie Sanders|1342|0.225|A|1033|18.1
Alabama|AL|Colbert|1033.0|Democrat|Hillary Clinton|3879|0.65|A|1033|18.1
Alabama|AL|Colbert|1033.0|Republican|Ben Carson|884|0.109|A|1033|18.1
Alabama|AL|Colbert|1033.0|Republican|Donald Trump|3858|0.474|A|1033|18.1
Alabama|AL|Colbert|1033.0|Republican|John Kasich|250|0.031|A|1033|18.1
Alabama|AL|Colbert|1033.0|Republican|Marco Rubio|1443|0.177|A|1033|18.1
Alabama|AL|Colbert|1033.0|Republican|Ted Cruz|1601|0.197|A|1033|18.1
Alabama|AL|Conecuh|1035.0|Democrat|Bernie Sanders|544|0.191|A|1035|28.3
Alabama|AL|Conecuh|1035.0|Democrat|Hillary Clinton|2031|0.7140000000000001|A|1035|28.3
Alabama|AL|Conecuh|1035.0|Republican|Ben Carson|137|0.105|A|1035|28.3
Alabama|AL|Conecuh|1035.0|Republican|Donald Trump|768|0.59|A|1035|28.3
Alabama|AL|Conecuh|1035.0|Republican|John Kasich|17|0.013|A|1035|28.3
Alabama|AL|Conecuh|1035.0|Republican|Marco Rubio|141|0.108|A|1035|28.3
Alabama|AL|Conecuh|1035.0|Republican|Ted Cruz|208|0.16|A|1035|28.3
Alabama|AL|Coosa|1037.0|Democrat|Bernie Sanders|125|0.108|A|1037|20.3
Alabama|AL|Coosa|1037.0|Democrat|Hillary Clinton|1012|0.877|A|1037|20.3
Alabama|AL|Coosa|1037.0|Republican|Ben Carson|201|0.09|A|1037|20.3
Alabama|AL|Coosa|1037.0|Republican|Donald Trump|1233|0.5529999999999999|A|1037|20.3
Alabama|AL|Coosa|1037.0|Republican|John Kasich|66|0.03|A|1037|20.3
Alabama|AL|Coosa|1037.0|Republican|Marco Rubio|241|0.108|A|1037|20.3
Alabama|AL|Coosa|1037.0|Republican|Ted Cruz|435|0.195|A|1037|20.3
Alabama|AL|Covington|1039.0|Democrat|Bernie Sanders|188|0.197|A|1039|22.3
Alabama|AL|Covington|1039.0|Democrat|Hillary Clinton|737|0.773|A|1039|22.3
Alabama|AL|Covington|1039.0|Republican|Ben Carson|1275|0.133|A|1039|22.3
Alabama|AL|Covington|1039.0|Republican|Donald Trump|4608|0.481|A|1039|22.3
Alabama|AL|Covington|1039.0|Republican|John Kasich|324|0.034|A|1039|22.3
Alabama|AL|Covington|1039.0|Republican|Marco Rubio|1277|0.133|A|1039|22.3
Alabama|AL|Covington|1039.0|Republican|Ted Cruz|1773|0.185|A|1039|22.3
Alabama|AL|Crenshaw|1041.0|Democrat|Bernie Sanders|107|0.103|A|1041|19.9
Alabama|AL|Crenshaw|1041.0|Democrat|Hillary Clinton|908|0.878|A|1041|19.9
Alabama|AL|Crenshaw|1041.0|Republican|Ben Carson|286|0.104|A|1041|19.9
Alabama|AL|Crenshaw|1041.0|Republican|Donald Trump|1496|0.545|A|1041|19.9
Alabama|AL|Crenshaw|1041.0|Republican|John Kasich|70|0.026|A|1041|19.9
Alabama|AL|Crenshaw|1041.0|Republican|Marco Rubio|250|0.091|A|1041|19.9
Alabama|AL|Crenshaw|1041.0|Republican|Ted Cruz|602|0.219|A|1041|19.9
Alabama|AL|Cullman|1043.0|Democrat|Bernie Sanders|723|0.345|A|1043|19.4
Alabama|AL|Cullman|1043.0|Democrat|Hillary Clinton|1275|0.608|A|1043|19.4
Alabama|AL|Cullman|1043.0|Republican|Ben Carson|2301|0.11|A|1043|19.4
Alabama|AL|Cullman|1043.0|Republican|Donald Trump|10618|0.506|A|1043|19.4
Alabama|AL|Cullman|1043.0|Republican|John Kasich|558|0.027000000000000003|A|1043|19.4
Alabama|AL|Cullman|1043.0|Republican|Marco Rubio|2832|0.135|A|1043|19.4
Alabama|AL|Cullman|1043.0|Republican|Ted Cruz|4248|0.203|A|1043|19.4
Alabama|AL|Dale|1045.0|Democrat|Bernie Sanders|415|0.207|A|1045|18.5
Alabama|AL|Dale|1045.0|Democrat|Hillary Clinton|1544|0.77|A|1045|18.5
Alabama|AL|Dale|1045.0|Republican|Ben Carson|1150|0.125|A|1045|18.5
Alabama|AL|Dale|1045.0|Republican|Donald Trump|4151|0.453|A|1045|18.5
Alabama|AL|Dale|1045.0|Republican|John Kasich|333|0.036000000000000004|A|1045|18.5
Alabama|AL|Dale|1045.0|Republican|Marco Rubio|1194|0.13|A|1045|18.5
Alabama|AL|Dale|1045.0|Republican|Ted Cruz|2008|0.219|A|1045|18.5
Alabama|AL|Dallas|1047.0|Democrat|Bernie Sanders|1774|0.154|A|1047|34.6
Alabama|AL|Dallas|1047.0|Democrat|Hillary Clinton|8577|0.7440000000000001|A|1047|34.6
Alabama|AL|Dallas|1047.0|Republican|Ben Carson|46|0.053|A|1047|34.6
Alabama|AL|Dallas|1047.0|Republican|Donald Trump|523|0.597|A|1047|34.6
Alabama|AL|Dallas|1047.0|Republican|John Kasich|23|0.026|A|1047|34.6
Alabama|AL|Dallas|1047.0|Republican|Marco Rubio|76|0.087|A|1047|34.6
Alabama|AL|Dallas|1047.0|Republican|Ted Cruz|181|0.207|A|1047|34.6
Alabama|AL|DeKalb|1049.0|Democrat|Bernie Sanders|667|0.32299999999999995|A|1049|20.6
Alabama|AL|DeKalb|1049.0|Democrat|Hillary Clinton|1297|0.629|A|1049|20.6
Alabama|AL|DeKalb|1049.0|Republican|Ben Carson|1285|0.098|A|1049|20.6
Alabama|AL|DeKalb|1049.0|Republican|Donald Trump|6247|0.476|A|1049|20.6
Alabama|AL|DeKalb|1049.0|Republican|John Kasich|325|0.025|A|1049|20.6
Alabama|AL|DeKalb|1049.0|Republican|Marco Rubio|2837|0.21600000000000005|A|1049|20.6
Alabama|AL|DeKalb|1049.0|Republican|Ted Cruz|2153|0.16399999999999998|A|1049|20.6
Alabama|AL|Elmore|1051.0|Democrat|Bernie Sanders|694|0.184|A|1051|14.0
Alabama|AL|Elmore|1051.0|Democrat|Hillary Clinton|3019|0.8009999999999999|A|1051|14.0
Alabama|AL|Elmore|1051.0|Republican|Ben Carson|2630|0.14800000000000002|A|1051|14.0
Alabama|AL|Elmore|1051.0|Republican|Donald Trump|8525|0.478|A|1051|14.0
Alabama|AL|Elmore|1051.0|Republican|John Kasich|634|0.036000000000000004|A|1051|14.0
Alabama|AL|Elmore|1051.0|Republican|Marco Rubio|2387|0.134|A|1051|14.0
Alabama|AL|Elmore|1051.0|Republican|Ted Cruz|3236|0.182|A|1051|14.0
Alabama|AL|Escambia|1053.0|Democrat|Bernie Sanders|226|0.099|A|1053|24.4
Alabama|AL|Escambia|1053.0|Democrat|Hillary Clinton|2027|0.885|A|1053|24.4
Alabama|AL|Escambia|1053.0|Republican|Ben Carson|585|0.102|A|1053|24.4
Alabama|AL|Escambia|1053.0|Republican|Donald Trump|2817|0.493|A|1053|24.4
Alabama|AL|Escambia|1053.0|Republican|John Kasich|194|0.034|A|1053|24.4
Alabama|AL|Escambia|1053.0|Republican|Marco Rubio|1028|0.18|A|1053|24.4
Alabama|AL|Escambia|1053.0|Republican|Ted Cruz|978|0.171|A|1053|24.4
Alabama|AL|Etowah|1055.0|Democrat|Bernie Sanders|1289|0.226|A|1055|19.0
Alabama|AL|Etowah|1055.0|Democrat|Hillary Clinton|4262|0.746|A|1055|19.0
Alabama|AL|Etowah|1055.0|Republican|Ben Carson|2098|0.112|A|1055|19.0
Alabama|AL|Etowah|1055.0|Republican|Donald Trump|8657|0.461|A|1055|19.0
Alabama|AL|Etowah|1055.0|Republican|John Kasich|616|0.033|A|1055|19.0
Alabama|AL|Etowah|1055.0|Republican|Marco Rubio|3155|0.168|A|1055|19.0
Alabama|AL|Etowah|1055.0|Republican|Ted Cruz|3891|0.207|A|1055|19.0
Alabama|AL|Fayette|1057.0|Democrat|Bernie Sanders|148|0.172|A|1057|20.4
Alabama|AL|Fayette|1057.0|Democrat|Hillary Clinton|660|0.767|A|1057|20.4
Alabama|AL|Fayette|1057.0|Republican|Ben Carson|488|0.098|A|1057|20.4
Alabama|AL|Fayette|1057.0|Republican|Donald Trump|2479|0.499|A|1057|20.4
Alabama|AL|Fayette|1057.0|Republican|John Kasich|124|0.025|A|1057|20.4
Alabama|AL|Fayette|1057.0|Republican|Marco Rubio|663|0.133|A|1057|20.4
Alabama|AL|Fayette|1057.0|Republican|Ted Cruz|1043|0.21|A|1057|20.4
Alabama|AL|Franklin|1059.0|Democrat|Bernie Sanders|767|0.301|A|1059|21.1
Alabama|AL|Franklin|1059.0|Democrat|Hillary Clinton|1233|0.484|A|1059|21.1
Alabama|AL|Franklin|1059.0|Republican|Ben Carson|388|0.093|A|1059|21.1
Alabama|AL|Franklin|1059.0|Republican|Donald Trump|2155|0.515|A|1059|21.1
Alabama|AL|Franklin|1059.0|Republican|John Kasich|107|0.026|A|1059|21.1
Alabama|AL|Franklin|1059.0|Republican|Marco Rubio|562|0.134|A|1059|21.1
Alabama|AL|Franklin|1059.0|Republican|Ted Cruz|892|0.213|A|1059|21.1
Alabama|AL|Geneva|1061.0|Democrat|Bernie Sanders|157|0.21600000000000005|A|1061|22.4
Alabama|AL|Geneva|1061.0|Democrat|Hillary Clinton|544|0.7490000000000001|A|1061|22.4
Alabama|AL|Geneva|1061.0|Republican|Ben Carson|592|0.093|A|1061|22.4
Alabama|AL|Geneva|1061.0|Republican|Donald Trump|3106|0.486|A|1061|22.4
Alabama|AL|Geneva|1061.0|Republican|John Kasich|146|0.023|A|1061|22.4
Alabama|AL|Geneva|1061.0|Republican|Marco Rubio|829|0.13|A|1061|22.4
Alabama|AL|Geneva|1061.0|Republican|Ted Cruz|1517|0.237|A|1061|22.4
Alabama|AL|Greene|1063.0|Democrat|Bernie Sanders|213|0.071|A|1063|37.7
Alabama|AL|Greene|1063.0|Democrat|Hillary Clinton|2714|0.901|A|1063|37.7
Alabama|AL|Greene|1063.0|Republican|Ben Carson|19|0.07|A|1063|37.7
Alabama|AL|Greene|1063.0|Republican|Donald Trump|147|0.5379999999999999|A|1063|37.7
Alabama|AL|Greene|1063.0|Republican|John Kasich|10|0.037000000000000005|A|1063|37.7
Alabama|AL|Greene|1063.0|Republican|Marco Rubio|33|0.121|A|1063|37.7
Alabama|AL|Greene|1063.0|Republican|Ted Cruz|59|0.21600000000000005|A|1063|37.7
Alabama|AL|Hale|1065.0|Democrat|Bernie Sanders|427|0.14|A|1065|28.5
